Symbol,Company Name,Security Type,Security Price,Sector,Industry,Sub-Industry,Market Capitalization,% Price Change Today,Equity Summary Score from StarMine from Refinitiv
CDXI,Cardax Inc,Common Stock,1.26,Health Care,Pharmaceuticals,Pharmaceuticals,$1.01M,,
CHMJF,Chemistree Technology Inc,Common Stock,0.0412,Health Care,Pharmaceuticals,Pharmaceuticals,$1.56M,3,
ENDV,Endonovo Therapeutics Inc,Common Stock,0.02865,Health Care,Biotechnology,Biotechnology,$1.68M,3.05755,
CAPS,Capstone Therapeutics Corp,Common Stock,36.01,Health Care,Biotechnology,Biotechnology,$1.94M,,
RSPI,RespireRx Pharmaceuticals Inc,Common Stock,0.0225,Health Care,Pharmaceuticals,Pharmaceuticals,$2.60M,-22.41379,
KDCE,Kid Castle Educational Corp,Common Stock,0.003,Health Care,Pharmaceuticals,Pharmaceuticals,$2.77M,,
RASP,Rasna Therapeutics Inc,Common Stock,0.05,Health Care,Biotechnology,Biotechnology,$3.45M,,
SGBI,Sangui Biotech International Inc,Common Stock,0.0168,Health Care,Biotechnology,Biotechnology,$3.48M,,
KAYS,Kaya Holdings Inc,Common Stock,0.2845,Health Care,Pharmaceuticals,Pharmaceuticals,$3.75M,9.42308,
POTVF,Potent Ventures Inc,Common Stock,0.0389,Health Care,Pharmaceuticals,Pharmaceuticals,$3.80M,-17.84583,
NPTX,Neuropathix Inc,Common Stock,0.0482,Health Care,Pharmaceuticals,Pharmaceuticals,$3.84M,10.55046,
ISCO,International Stem Cell Corp,Common Stock,0.51,Health Care,Biotechnology,Biotechnology,$4.21M,-5.99078,
NXEN,Nexien BioPharma Inc,Common Stock,0.081,Health Care,Pharmaceuticals,Pharmaceuticals,$4.70M,-4.25532,
FNNZF,FinCanna Capital Corp,Common Stock,0.0471,Health Care,Pharmaceuticals,Pharmaceuticals,$4.87M,-4.55927,
VNNYF,Vinergy Capital Inc,Common Stock,0.0679,Health Care,Pharmaceuticals,Pharmaceuticals,$4.98M,5.27132,
LVCLY,Living Cell Technologies Ltd,Depository Receipt,0.1,Health Care,Biotechnology,Biotechnology,$5.71M,,
QRON,Qrons Inc,Common Stock,0.44,Health Care,Biotechnology,Biotechnology,$5.85M,0,
IPCIF,IntelliPharmaCeutics International Inc,Common Stock,0.1605,Health Care,Pharmaceuticals,Pharmaceuticals,$5.96M,-10.83333,
WPHM,Winston Pharmaceuticals Inc,Common Stock,0.08,Health Care,Pharmaceuticals,Pharmaceuticals,$6.19M,,
BIOIF,Biome Grow Inc,Common Stock,0.06144,Health Care,Pharmaceuticals,Pharmaceuticals,$6.38M,7.41259,
HCYT,H-CYTE Inc,Common Stock,0.045,Health Care,Biotechnology,Biotechnology,$6.51M,-0.22173,
MGWFF,Leaf Green World Inc,Common Stock,0.03726,Health Care,Pharmaceuticals,Pharmaceuticals,$6.52M,-7.77228,
MMJFF,Matica Enterprises Inc,Common Stock,0.0286,Health Care,Pharmaceuticals,Pharmaceuticals,$8.14M,10.8957,
CVGRF,City View Green Holdings Inc,Common Stock,0.0487,Health Care,Pharmaceuticals,Pharmaceuticals,$8.62M,,
CBDY,Target Group Inc,Common Stock,0.018,Health Care,Pharmaceuticals,Pharmaceuticals,$9.18M,12.5,
TDLAF,TBG Diagnostics Ltd,Common Stock,0.0471,Health Care,Biotechnology,Biotechnology,$10.25M,,
CANB,Can B Corp,Common Stock,0.66,Health Care,Pharmaceuticals,Pharmaceuticals,$10.58M,3.93701,
BBRRF,Blueberries Medical Corp,Common Stock,0.08,Health Care,Pharmaceuticals,Pharmaceuticals,$11.10M,2.5641,
SRUTF,Sproutly Canada Inc,Common Stock,0.04095,Health Care,Pharmaceuticals,Pharmaceuticals,$11.18M,-2.84698,
EXDI,Exactus Inc,Common Stock,0.101,Health Care,Pharmaceuticals,Pharmaceuticals,$11.38M,-0.6883,
MRVFF,Nuvo Pharmaceuticals Inc,Common Stock,1.05,Health Care,Pharmaceuticals,Pharmaceuticals,$11.50M,3.9604,
SPRCY,Therapix Biosciences Ltd,Depository Receipt,5.65,Health Care,Biotechnology,Biotechnology,$11.99M,-4.23729,
NMLSF,Nova Mentis Life Sciences Corp,Common Stock,0.11,Health Care,Biotechnology,Biotechnology,$12.09M,0,
FIORF,Fiore Cannabais Ltd,Common Stock,0.0731,Health Care,Pharmaceuticals,Pharmaceuticals,$12.49M,-8.73908,
AQSZF,Aequus Pharmaceuticals Inc,Common Stock,0.1,Health Care,Pharmaceuticals,Pharmaceuticals,$12.52M,5.9322,
SNOA,Sonoma Pharmaceuticals Inc,Common Stock,6.53,Health Care,Pharmaceuticals,Pharmaceuticals,$12.86M,6.17886,
OWPC,One World Pharma Inc,Common Stock,0.2205,Health Care,Pharmaceuticals,Pharmaceuticals,$13.52M,0.22727,
THCBF,THC Biomed International Ltd,Common Stock,0.085,Health Care,Pharmaceuticals,Pharmaceuticals,$13.54M,2.78114,
MHTX,Manhattan Scientifics Inc,Common Stock,0.025,Health Care,Biotechnology,Biotechnology,$14.68M,-4.7619,
SBUDF,Sugarbud Craft Growers Corp,Common Stock,0.0319,Health Care,Pharmaceuticals,Pharmaceuticals,$14.98M,2.57235,
GBLX,GB Sciences Inc,Common Stock,0.0496,Health Care,Pharmaceuticals,Pharmaceuticals,$14.99M,4.86258,
BICTF,Biocure Technology Inc,Common Stock,0.145,Health Care,Biotechnology,Biotechnology,$15.46M,,
BSTG,Biostage Inc,Common Stock,1.65,Health Care,Biotechnology,Biotechnology,$15.49M,0,
BIOAF,biOasis Technologies Inc,Common Stock,0.22146,Health Care,Biotechnology,Biotechnology,$15.87M,0.66364,
PLPRF,Plus Products Inc,Common Stock,0.367,Health Care,Pharmaceuticals,Pharmaceuticals,$15.92M,-0.27174,
KNBIF,Kane Biotech Inc,Common Stock,0.14,Health Care,Biotechnology,Biotechnology,$16.07M,,
NTEC,Intec Pharma Ltd,Common Stock,9.15,Health Care,Biotechnology,Biotechnology,$16.68M,1.10497,
CHOOF,Choom Holdings Inc,Common Stock,0.051,Health Care,Pharmaceuticals,Pharmaceuticals,$16.99M,-2.48566,
KOAN,Resonate Blends Inc,Common Stock,0.445,Health Care,Pharmaceuticals,Pharmaceuticals,$17.44M,1.13636,
VIVXF,Avivagen Inc,Common Stock,0.31,Health Care,Pharmaceuticals,Pharmaceuticals,$17.66M,,
SXTC,China SXT Pharmaceuticals Inc,Common Stock,1.26,Health Care,Pharmaceuticals,Pharmaceuticals,$18.31M,6.77966,
SNES,SenesTech Inc,Common Stock,1.52,Health Care,Pharmaceuticals,Pharmaceuticals,$18.40M,0.66225,
EPGNY,Epigenomics AG,Depository Receipt,7.8,Health Care,Biotechnology,Biotechnology,$18.45M,,
XTLB,XTL Biopharmaceuticals,Depository Receipt,3.57,Health Care,Biotechnology,Biotechnology,$19.33M,-2.45902,
GPFT,Grapefruit USA Inc,Common Stock,0.04,Health Care,Pharmaceuticals,Pharmaceuticals,$19.66M,4.49321,
PMCBD,PharmaCyte Biotech Inc,Common Stock,12.5,Health Care,Biotechnology,Biotechnology,$19.88M,0,
BETRF,Betterlife Pharma Inc,Common Stock,0.255,Health Care,Pharmaceuticals,Pharmaceuticals,$20.07M,-1.17428,
INM,InMed Pharmaceuticals Inc,Common Stock,2.71,Health Care,Pharmaceuticals,Pharmaceuticals,$21.34M,2.26415,
CLSH,CLS Holdings USA Inc,Common Stock,0.16613,Health Care,Pharmaceuticals,Pharmaceuticals,$21.63M,-2.27647,
TGIFF,1933 Industries Inc,Common Stock,0.069,Health Care,Pharmaceuticals,Pharmaceuticals,$21.92M,-0.71942,
VRPX,Virpax Pharmaceuticals Inc,Common Stock,4.4,Health Care,Pharmaceuticals,Pharmaceuticals,$22.22M,-1.78571,
OILFF,Nextleaf Solutions Ltd,Common Stock,0.1775,Health Care,Pharmaceuticals,Pharmaceuticals,$22.74M,-2.85683,
TTNP,Titan Pharmaceuticals Inc,Common Stock,2.325,Health Care,Pharmaceuticals,Pharmaceuticals,$22.88M,0.21552,
ACAN,Americann Inc,Common Stock,0.99,Health Care,Pharmaceuticals,Pharmaceuticals,$22.99M,2.06186,
PSTV,Plus Therapeutics Inc,Common Stock,1.96,Health Care,Biotechnology,Biotechnology,$23.57M,0.51282,
QBIO,Q BioMed Inc,Common Stock,0.85,Health Care,Biotechnology,Biotechnology,$23.59M,-0.5848,
MYMX,Mymetics Corp,Common Stock,0.07555,Health Care,Biotechnology,Biotechnology,$23.69M,-3.14103,
PALI,Palisade Bio Inc,Common Stock,3.48,Health Care,Pharmaceuticals,Pharmaceuticals,$23.95M,6.42202,
SONN,Sonnet BioTherapeutics Holdings Inc,Common Stock,1.12,Health Care,Biotechnology,Biotechnology,$23.95M,0,
CNBX,Cannabics Pharmaceuticals Inc,Common Stock,0.17,Health Care,Pharmaceuticals,Pharmaceuticals,$24.49M,1.79641,
BLCM,Bellicum Pharmaceuticals Inc,Common Stock,3.08,Health Care,Biotechnology,Biotechnology,$24.52M,5.47945,
PHIO,Phio Pharmaceuticals Corp,Common Stock,1.82,Health Care,Biotechnology,Biotechnology,$24.63M,0,
ARTL,Artelo Biosciences Inc,Common Stock,1.05,Health Care,Pharmaceuticals,Pharmaceuticals,$25.23M,1.94175,
EYEG,Eyegate Pharmaceuticals Inc,Common Stock,3.21,Health Care,Pharmaceuticals,Pharmaceuticals,$26.76M,-14.85411,
VEXTF,Vext Science Inc,Common Stock,0.5889,Health Care,Pharmaceuticals,Pharmaceuticals,$27.15M,1.30741,
GNBT,Generex Biotechnology Corp,Common Stock,0.2313,Health Care,Biotechnology,Biotechnology,$27.39M,0.01297,
NBY,NovaBay Pharmaceuticals Inc,Common Stock,0.6404,Health Care,Pharmaceuticals,Pharmaceuticals,$27.48M,-2.24393,
IMRN,Immuron Ltd,Depository Receipt,4.8501,Health Care,Biotechnology,Biotechnology,$27.50M,,
GOVX,Geovax Labs Inc,Common Stock,5.09,Health Care,Biotechnology,Biotechnology,$27.59M,16.74312,
XBIO,Xenetic Biosciences PLC,Common Stock,3.185,Health Care,Biotechnology,Biotechnology,$27.73M,0.47319,
PVCT,Provectus Biopharmaceuticals Inc,Common Stock,0.069,Health Care,Pharmaceuticals,Pharmaceuticals,$28.05M,-0.71942,
VLON,Vallon Pharmaceuticals Inc,Common Stock,4.02,Health Care,Pharmaceuticals,Pharmaceuticals,$28.55M,-4.05728,
AVCNF,Avicanna Inc,Common Stock,0.7,Health Care,Pharmaceuticals,Pharmaceuticals,$28.89M,,
BNTC,Benitec Biopharma Ltd,Common Stock,3.67,Health Care,Biotechnology,Biotechnology,$29.22M,-1.34409,
EXPFF,Citizen Stash Cannabis Corp,Common Stock,0.2888,Health Care,Pharmaceuticals,Pharmaceuticals,$29.23M,-0.0692,
PTPI,Petros Pharmaceuticals Inc,Common Stock,3.094,Health Care,Pharmaceuticals,Pharmaceuticals,$29.69M,2.11221,
CYTR,CytRx Corp,Common Stock,0.7897,Health Care,Biotechnology,Biotechnology,$30.01M,1.25008,
SNPX,Synaptogenix,Common Stock,9.1,Health Care,Biotechnology,Biotechnology,$30.48M,4.71807,
CPHI,China Pharma Holdings Inc,Common Stock,0.7201,Health Care,Pharmaceuticals,Pharmaceuticals,$30.72M,2.14184,
PRFX,Painreform Ltd,Common Stock,2.88,Health Care,Pharmaceuticals,Pharmaceuticals,$30.89M,-6.18893,
EMHTF,Emerald Health Therapeutics Inc,Common Stock,0.1456,Health Care,Pharmaceuticals,Pharmaceuticals,$30.93M,0.41379,
CVALF,Covalon Technologies Ltd,Common Stock,1.2,Health Care,Biotechnology,Biotechnology,$30.98M,,
ATXI,Avenue Therapeutics Inc,Common Stock,1.89,Health Care,Pharmaceuticals,Pharmaceuticals,$30.98M,2.16216,Neutral
PTIX,Protagenic Therapeutics Inc,Common Stock,2.26,Health Care,Biotechnology,Biotechnology,$31.05M,6.60377,
ADTX,Aditxt Inc,Common Stock,2.17,Health Care,Biotechnology,Biotechnology,$31.42M,0.46296,
HOTH,Hoth Therapeutics Inc,Common Stock,1.36,Health Care,Pharmaceuticals,Pharmaceuticals,$31.75M,2.25564,
NLSP,NLS Pharmaceutics Ltd,Common Stock,2.78,Health Care,Pharmaceuticals,Pharmaceuticals,$32.46M,3.34572,
DLTNF,Delta 9 Cannabis Inc,Common Stock,0.3298,Health Care,Pharmaceuticals,Pharmaceuticals,$33.31M,1.06334,
HSTO,Histogen Inc,Common Stock,0.8273,Health Care,Biotechnology,Biotechnology,$33.71M,2.40129,
ACER,Acer Therapeutics Inc,Common Stock,2.4,Health Care,Pharmaceuticals,Pharmaceuticals,$33.77M,1.69492,
NDVAF,Indiva Ltd,Common Stock,0.26725,Health Care,Pharmaceuticals,Pharmaceuticals,$33.88M,7.26039,
PBLA,Panbela Therapeutics Inc,Common Stock,2.85,Health Care,Biotechnology,Biotechnology,$34.24M,11.76471,
LVCNF,Leviathan Natural Products Inc,Common Stock,0.4053,Health Care,Pharmaceuticals,Pharmaceuticals,$34.35M,,
LEXX,Lexaria Bioscience Corp,Common Stock,6.42,Health Care,Pharmaceuticals,Pharmaceuticals,$34.40M,-4.74777,
TMBR,Timber Pharmaceuticals Inc,Common Stock,0.9564,Health Care,Pharmaceuticals,Pharmaceuticals,$34.49M,2.16857,
PKTX,Protokinetix Inc,Common Stock,0.1255,Health Care,Biotechnology,Biotechnology,$34.74M,4.58333,
RNAZ,TransCode Therapeutics Inc,Common Stock,2.98,Health Care,Biotechnology,Biotechnology,$34.81M,2.4407,
