Symbol,Company Name,Security Type,Security Price,Sector,Industry,Sub-Industry,Market Capitalization,% Price Change Today,Equity Summary Score from StarMine from Refinitiv
ARPO,Aerpio Pharmaceuticals Inc,Common Stock,2.16,Health Care,Pharmaceuticals,Pharmaceuticals,$98.28M,4.34783,
GANX,Gain Therapeutics Inc,Common Stock,8.3,Health Care,Biotechnology,Biotechnology,$98.58M,0,
OTIC,Otonomy Inc,Common Stock,1.75,Health Care,Pharmaceuticals,Pharmaceuticals,$99.08M,0,Very Bearish
LJPC,La Jolla Pharmaceutical Co,Common Stock,3.74,Health Care,Biotechnology,Biotechnology,$99.17M,3.60111,Very Bearish
PCSA,Processa Pharmaceuticals Inc,Common Stock,6.36,Health Care,Pharmaceuticals,Pharmaceuticals,$100.74M,-2.00308,
ETTX,Entasis Therapeutics Holdings Inc,Common Stock,2.38,Health Care,Biotechnology,Biotechnology,$100.89M,2.80778,
FSTX,F-star Therapeutics Inc,Common Stock,5.3,Health Care,Biotechnology,Biotechnology,$102.45M,0.18904,
FWP,Forward Pharma A/S,Depository Receipt,14.33,Health Care,Biotechnology,Biotechnology,$102.48M,-3.63147,
PSTI,Pluristem Therapeutics Inc,Common Stock,3.41,Health Care,Biotechnology,Biotechnology,$102.84M,5.24691,Bearish
NYMX,Nymox Pharmaceutical Corp,Common Stock,1.54,Health Care,Biotechnology,Biotechnology,$103.11M,17.55725,
AGRX,Agile Therapeutics Inc,Common Stock,1.21,Health Care,Pharmaceuticals,Pharmaceuticals,$103.23M,9.00901,
AYTU,Aytu BioPharma Inc,Common Stock,4.14,Health Care,Pharmaceuticals,Pharmaceuticals,$103.45M,0.72993,
GLYC,GlycoMimetics Inc,Common Stock,2.05,Health Care,Biotechnology,Biotechnology,$104.11M,1.48515,Neutral
PRPH,ProPhase Labs Inc,Common Stock,7.35,Health Care,Pharmaceuticals,Pharmaceuticals,$105.02M,6.06061,
CNCE,Concert Pharmaceuticals Inc,Common Stock,3.46,Health Care,Biotechnology,Biotechnology,$105.53M,5.4878,Bearish
EVAX,Evaxion Biotech A/S,Depository Receipt,5.45,Health Care,Biotechnology,Biotechnology,$105.59M,-0.90909,
AXIM,AXIM Biotechnologies Inc,Common Stock,0.755,Health Care,Pharmaceuticals,Pharmaceuticals,$105.67M,-7.92683,
CAPR,Capricor Therapeutics Inc,Common Stock,4.78,Health Care,Biotechnology,Biotechnology,$106.15M,3.01724,
ROMJF,Rubicon Organics Inc,Common Stock,1.99,Health Care,Pharmaceuticals,Pharmaceuticals,$106.72M,3.64583,
GLTO,Galecto Inc,Common Stock,4.46,Health Care,Biotechnology,Biotechnology,$107.11M,5.18868,
DYAI,Dyadic International Inc,Common Stock,3.4,Health Care,Biotechnology,Biotechnology,$107.19M,-12.5964,
COCP,Cocrystal Pharma Inc,Common Stock,1.1,Health Care,Pharmaceuticals,Pharmaceuticals,$107.22M,0,
IFRX,InflaRx NV,Common Stock,2.55,Health Care,Biotechnology,Biotechnology,$108.72M,2.82258,
NCNA,NuCana Plc,Depository Receipt,2.11,Health Care,Biotechnology,Biotechnology,$110.06M,0,
CMPI,Checkmate Pharmaceuticals Inc,Common Stock,5.09,Health Care,Biotechnology,Biotechnology,$110.29M,-0.19608,
GNCA,Genocea Biosciences Inc,Common Stock,2.03,Health Care,Biotechnology,Biotechnology,$110.50M,0,
NBSE,NeuBase Therapeutics Inc,Common Stock,3.54,Health Care,Biotechnology,Biotechnology,$111.24M,4.11765,
MDWD,MediWound Ltd,Common Stock,3.99,Health Care,Pharmaceuticals,Pharmaceuticals,$111.70M,-2.68293,Very Bearish
EYEN,Eyenovia Inc,Common Stock,4.37,Health Care,Pharmaceuticals,Pharmaceuticals,$111.96M,0.92379,
KZIA,Kazia Therapeutics Ltd,Depository Receipt,9.14,Health Care,Biotechnology,Biotechnology,$112.29M,2.69663,
LGVN,Longeveron INC,Common Stock,6.14,Health Care,Biotechnology,Biotechnology,$112.39M,3.71622,
RGC,Regencell Bioscience Holding Ltd,Common Stock,9.11,Health Care,Pharmaceuticals,Pharmaceuticals,$113.78M,1.22222,
EVGN,Evogene Ltd,Common Stock,2.94,Health Care,Biotechnology,Biotechnology,$113.97M,4.25532,
MEDXF,Medexus Pharmaceuticals Inc,Common Stock,6.03,Health Care,Pharmaceuticals,Pharmaceuticals,$114.87M,0.66778,
PTN,Palatin Technologies Inc.,Common Stock,0.514,Health Care,Biotechnology,Biotechnology,$115.05M,2.77944,
VYGR,Voyager Therapeutics Inc,Common Stock,3.23,Health Care,Biotechnology,Biotechnology,$116.20M,4.87013,
NXGWF,Next Green Wave Holdings Inc,Common Stock,0.62475,Health Care,Pharmaceuticals,Pharmaceuticals,$116.22M,-0.54919,
LPCN,Lipocine Inc,Common Stock,1.34,Health Care,Pharmaceuticals,Pharmaceuticals,$116.54M,1.51515,
SLHG,Skylight Health Group Inc,Common Stock,3.29,Health Care,Pharmaceuticals,Pharmaceuticals,$116.67M,1.85759,
ORGS,Orgenesis Inc,Common Stock,4.99,Health Care,Biotechnology,Biotechnology,$117.01M,4.39331,
VBLT,Vascular Biogenics Ltd,Common Stock,2.02,Health Care,Biotechnology,Biotechnology,$117.34M,-5.16432,
LOVFF,Cannara Biotech Inc,Common Stock,0.1404,Health Care,Pharmaceuticals,Pharmaceuticals,$117.89M,4.38662,
HEPA,Hepion Pharmaceuticals Inc,Common Stock,1.56,Health Care,Pharmaceuticals,Pharmaceuticals,$118.15M,0.64516,
ELOX,Eloxx Pharmaceuticals Inc,Common Stock,1.39,Health Care,Pharmaceuticals,Pharmaceuticals,$118.88M,0.72464,
XCUR,Exicure Inc,Common Stock,1.39,Health Care,Biotechnology,Biotechnology,$119.67M,2.20588,
BCLI,Brainstorm Cell Therapeutics,Common Stock,3.57,Health Care,Biotechnology,Biotechnology,$120.94M,7.20721,
IMV,IMV Inc,Common Stock,1.74,Health Care,Biotechnology,Biotechnology,$122.03M,-3.33333,
ENTX,Entera Bio Ltd,Common Stock,5.21,Health Care,Biotechnology,Biotechnology,$122.21M,1.36187,
GDNSF,Goodness Growth Holdings Inc,Common Stock,1.585,Health Care,Pharmaceuticals,Pharmaceuticals,$122.85M,-0.31447,
ONCY,Oncolytics Biotech Inc,Common Stock,2.4,Health Care,Biotechnology,Biotechnology,$123.48M,2.5641,
AQST,Aquestive Therapeutics Inc,Common Stock,3.51,Health Care,Pharmaceuticals,Pharmaceuticals,$123.68M,3.84615,
LQDA,Liquidia Corp,Common Stock,2.45,Health Care,Pharmaceuticals,Pharmaceuticals,$123.70M,2.94118,
ABEO,Abeona Therapeutics Inc,Common Stock,1.28,Health Care,Biotechnology,Biotechnology,$123.77M,2.4,
EVFM,Evofem Biosciences Inc,Common Stock,0.8802,Health Care,Pharmaceuticals,Pharmaceuticals,$125.82M,5.12361,
AXLA,Axcella Health Inc,Common Stock,3.63,Health Care,Biotechnology,Biotechnology,$125.99M,8.68263,
TGODF,The Green Organic Dutchman Holdings Ltd,Common Stock,0.254,Health Care,Pharmaceuticals,Pharmaceuticals,$129.29M,3.74122,
